Round_name,Run_id,Version,Total_timespan,Average_travel_Time,Max_Travel_time,Total_#_cars,#_finished,Deadline Misses,Deadline_overTime,Num_switched,no_options_missed,1_options_missed,2_options_missed,3_options_missed,4+_options_missed,no_options_total,1_options_total,2_options_total,3_options_total,4+_options_total
analyze5,STRBE_DUE-STR,STRBE_REWORK,913,297.1505016722408,801.0,299,299,31,148.41935483870967,56,21,8,2,0,0,243,52,4,0,0
analyze5,str_sumo.rou.xml,N/A,700,235.62207357859532,505.0,299,297,3,18.666666666666668,0,3,0,0,0,0,243,52,4,0,0
analyze5,static2_099.rou.xml,N/A,716,247.3210702341137,646.0,299,296,9,51.333333333333336,0,5,4,0,0,0,243,52,4,0,0
analyze6,STRBE_DUE-STR,STRBE_REWORK,895,280.24269662921347,759.0,445,444,31,58.516129032258064,109,17,14,0,0,0,337,104,3,1,0
analyze6,str_sumo.rou.xml,N/A,973,294.03370786516854,747.0,445,444,36,117.13888888888889,0,23,11,0,2,0,337,103,3,2,0
analyze6,static2_099.rou.xml,N/A,1064,313.8314606741573,1029.0,445,443,57,192.52631578947367,0,27,27,1,2,0,336,104,3,2,0
analyze7,STRBE_DUE-STR,STRBE_REWORK,811,255.2880886426593,694.0,361,361,13,93.46153846153847,93,10,3,0,0,0,268,87,6,0,0
analyze7,str_sumo.rou.xml,N/A,895,257.77008310249306,746.0,361,360,19,103.52631578947368,0,12,7,0,0,0,269,86,6,0,0
analyze7,static2_099.rou.xml,N/A,749,263.8448753462604,676.0,361,360,13,71.15384615384616,0,8,5,0,0,0,269,86,6,0,0
analyze8,STRBE_DUE-STR,STRBE_REWORK,639,226.92241379310346,571.0,348,348,1,81.0,54,0,1,0,0,0,294,53,1,0,0
analyze8,str_sumo.rou.xml,N/A,775,268.2557471264368,660.0,348,347,13,74.76923076923077,0,10,3,0,0,0,294,53,1,0,0
analyze8,static2_099.rou.xml,N/A,757,233.42528735632183,604.0,348,347,9,33.333333333333336,0,6,3,0,0,0,294,53,1,0,0
analyze9,STRBE_DUE-STR,STRBE_REWORK,769,274.0335195530726,678.0,358,355,13,108.3076923076923,90,9,4,0,0,0,269,78,11,0,0
analyze9,str_sumo.rou.xml,N/A,830,280.91340782122904,584.0,358,357,9,96.0,0,7,1,1,0,0,269,78,11,0,0
analyze9,static2_099.rou.xml,N/A,589,235.50837988826817,507.0,358,354,3,34.666666666666664,0,1,1,1,0,0,269,79,10,0,0
analyze10,STRBE_DUE-STR,STRBE_REWORK,717,263.1705685618729,624.0,299,298,11,42.90909090909091,45,9,2,0,0,0,254,45,0,0,0
analyze10,str_sumo.rou.xml,N/A,589,232.20735785953178,488.0,299,298,1,59.0,0,0,1,0,0,0,254,45,0,0,0
analyze10,static2_099.rou.xml,N/A,933,305.40133779264215,865.0,299,298,37,152.54054054054055,0,29,8,0,0,0,254,45,0,0,0
analyze11,STRBE_DUE-STR,STRBE_REWORK,1145,339.3070707070707,994.0,495,494,71,184.19718309859155,112,46,18,7,0,0,384,92,19,0,0
analyze11,str_sumo.rou.xml,N/A,1066,315.0020202020202,881.0,495,492,65,139.3230769230769,0,38,17,10,0,0,384,92,19,0,0
analyze11,static2_099.rou.xml,N/A,1574,347.13737373737376,1490.0,495,495,76,383.11842105263156,0,54,14,8,0,0,384,92,19,0,0
